"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0009117","nucleotide metabolic process","BP",329,1,0,0.814054044546679,1
"GO:0009119","ribonucleoside metabolic process","BP",41,0,0,1,1
"GO:0009120","deoxyribonucleoside metabolic process","BP",6,0,0,1,1
"GO:0009123","nucleoside monophosphate metabolic process","BP",46,1,0,0.2066310837022,1
"GO:0009124","nucleoside monophosphate biosynthetic process","BP",32,0,0,1,1
"GO:0009126","purine nucleoside monophosphate metabolic process","BP",27,1,0,0.126910028967414,1
"GO:0009127","purine nucleoside monophosphate biosynthetic process","BP",17,0,0,1,1
"GO:0009141","nucleoside triphosphate metabolic process","BP",70,1,0,0.297216651462401,1
"GO:0009143","nucleoside triphosphate catabolic process","BP",8,0,0,1,1
"GO:0009144","purine nucleoside triphosphate metabolic process","BP",57,0,0,1,1
"GO:0009146","purine nucleoside triphosphate catabolic process","BP",3,0,0,1,1
"GO:0009151","purine deoxyribonucleotide metabolic process","BP",5,0,0,1,1
"GO:0009155","purine deoxyribonucleotide catabolic process","BP",2,0,0,1,1
"GO:0009156","ribonucleoside monophosphate biosynthetic process","BP",24,0,0,1,1
"GO:0009161","ribonucleoside monophosphate metabolic process","BP",34,1,0,0.157152626583487,1
"GO:0009163","nucleoside biosynthetic process","BP",29,0,0,1,1
"GO:0009164","nucleoside catabolic process","BP",13,0,0,1,1
"GO:0009165","nucleotide biosynthetic process","BP",170,1,0,0.577437379616972,1
"GO:0009166","nucleotide catabolic process","BP",39,0,0,1,1
"GO:0009167","purine ribonucleoside monophosphate metabolic process","BP",27,1,0,0.126910028967414,1
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","BP",17,0,0,1,1
"GO:0009200","deoxyribonucleoside triphosphate metabolic process","BP",10,0,0,1,1
"GO:0009204","deoxyribonucleoside triphosphate catabolic process","BP",4,0,0,1,1
"GO:0009215","purine deoxyribonucleoside triphosphate metabolic process","BP",5,0,0,1,1
"GO:0009217","purine deoxyribonucleoside triphosphate catabolic process","BP",2,0,0,1,1
"GO:0009262","deoxyribonucleotide metabolic process","BP",18,0,0,1,1
"GO:0009264","deoxyribonucleotide catabolic process","BP",8,0,0,1,1
"GO:0009394","2'-deoxyribonucleotide metabolic process","BP",16,0,0,1,1
"GO:0009605","response to external stimulus","BP",1831,11,2,0.301016705922687,0.68888931970337
"GO:0009628","response to abiotic stimulus","BP",896,5,2,0.470242030315155,0.301314738504172
"GO:0009636","response to toxic substance","BP",424,4,0,0.161112526651741,1
"GO:0009653","anatomical structure morphogenesis","BP",1701,6,1,0.878719300709145,0.900660522898724
"GO:0009790","embryo development","BP",662,4,1,0.425588344050797,0.569180555265933
"GO:0009792","embryo development ending in birth or egg hatching","BP",422,2,0,0.631199679640862,1
"GO:0009888","tissue development","BP",1299,6,2,0.649226134640464,0.486770908821861
"GO:0009966","regulation of signal transduction","BP",1846,9,3,0.594815975678553,0.400491264816405
"GO:0009967","positive regulation of signal transduction","BP",1106,6,2,0.483658294630795,0.400066516374597
"GO:0009968","negative regulation of signal transduction","BP",751,5,2,0.322022361158484,0.232903488367103
"GO:0009991","response to extracellular stimulus","BP",386,4,0,0.126285613778135,1
"GO:0010033","response to organic substance","BP",2351,14,3,0.272569263024515,0.580156984705587
"GO:0010035","response to inorganic substance","BP",442,3,1,0.38227367884701,0.425935735852064
"GO:0010243","response to organonitrogen compound","BP",774,5,1,0.34542529449982,0.628843254977771
"GO:0010460","positive regulation of heart rate","BP",21,0,0,1,1
"GO:0010646","regulation of cell communication","BP",2149,11,3,0.524030273236623,0.510633983174258
"GO:0010647","positive regulation of cell communication","BP",1251,7,2,0.438956042299266,0.465731115368594
"GO:0010648","negative regulation of cell communication","BP",853,5,2,0.426509251066962,0.280925798041608
"GO:0010941","regulation of cell death","BP",1119,7,4,0.325333381369916,0.0383658669867077
"GO:0012501","programmed cell death","BP",1342,9,5,0.220963856791378,0.0155255928335221
"GO:0014070","response to organic cyclic compound","BP",777,4,2,0.553310580997056,0.245068887471681
"GO:0014072","response to isoquinoline alkaloid","BP",29,1,0,0.135657396459907,1
"GO:0016477","cell migration","BP",966,6,1,0.353371498024121,0.713914894628364
"GO:0017144","drug metabolic process","BP",411,4,0,0.14880737511549,1
"GO:0018130","heterocycle biosynthetic process","BP",2275,14,4,0.230181665142999,0.295234552788134
"GO:0019438","aromatic compound biosynthetic process","BP",2285,14,4,0.235574761237956,0.298328046910935
"GO:0019439","aromatic compound catabolic process","BP",373,0,1,1,0.372809829570614
"GO:0019637","organophosphate metabolic process","BP",588,2,1,0.803143195617417,0.525110829633189
"GO:0019692","deoxyribose phosphate metabolic process","BP",16,0,0,1,1
"GO:0019722","calcium-mediated signaling","BP",161,2,1,0.192553318104379,0.180399564542118
"GO:0019932","second-messenger-mediated signaling","BP",330,2,2,0.496127047146699,0.059388531839705
"GO:0019953","sexual reproduction","BP",429,4,2,0.165946216629596,0.094024561296278
"GO:0022407","regulation of cell-cell adhesion","BP",289,1,0,0.77107804663489,1
"GO:0022409","positive regulation of cell-cell adhesion","BP",204,1,0,0.64502139509217,1
"GO:0022410","circadian sleep/wake cycle process","BP",19,0,0,1,1
"GO:0022414","reproductive process","BP",874,6,2,0.270030306031706,0.29087939343742
"GO:0022603","regulation of anatomical structure morphogenesis","BP",701,2,0,0.876220496558422,1
"GO:0022610","biological adhesion","BP",932,3,0,0.859534222937412,1
"GO:0023051","regulation of signaling","BP",2180,11,3,0.545667392560996,0.521564892832392
"GO:0023052","signaling","BP",3700,20,6,0.380638003365605,0.272732977347283
"GO:0023056","positive regulation of signaling","BP",1256,7,2,0.443284392198976,0.46794061332104
"GO:0023057","negative regulation of signaling","BP",854,5,2,0.427533069907604,0.28139951761453
"GO:0030097","hemopoiesis","BP",632,2,0,0.835169913138454,1
"GO:0030098","lymphocyte differentiation","BP",262,1,0,0.736727559539659,1
"GO:0030154","cell differentiation","BP",2399,13,2,0.42450042431372,0.835682012258053
"GO:0030155","regulation of cell adhesion","BP",497,1,0,0.923175375143709,1
"GO:0030183","B cell differentiation","BP",98,0,0,1,1
"GO:0030217","T cell differentiation","BP",182,1,0,0.602615606039925,1
"GO:0030323","respiratory tube development","BP",134,2,0,0.144594517988755,1
"GO:0030324","lung development","BP",131,2,0,0.139440095018287,1
"GO:0030334","regulation of cell migration","BP",575,4,0,0.324542632506753,1
"GO:0030336","negative regulation of cell migration","BP",171,2,0,0.210845857057415,1
"GO:0030431","sleep","BP",28,0,0,1,1
"GO:0030888","regulation of B cell proliferation","BP",42,0,0,1,1
"GO:0030890","positive regulation of B cell proliferation","BP",27,0,0,1,1
"GO:0031347","regulation of defense response","BP",435,2,1,0.647927073075651,0.420739091552685
"GO:0031348","negative regulation of defense response","BP",134,0,0,1,1
"GO:0031667","response to nutrient levels","BP",364,4,0,0.107819098765878,1
"GO:0032101","regulation of response to external stimulus","BP",678,2,1,0.863680034216496,0.578205844374289
"GO:0032102","negative regulation of response to external stimulus","BP",245,1,0,0.712565648284255,1
"GO:0032261","purine nucleotide salvage","BP",7,0,0,1,1
"GO:0032501","multicellular organismal process","BP",4187,18,7,0.850324363579552,0.202791650596002
"GO:0032502","developmental process","BP",3630,17,5,0.692139447637836,0.477913202289762
"GO:0032504","multicellular organism reproduction","BP",455,4,2,0.191915995624554,0.10396538834458
"GO:0032879","regulation of localization","BP",1712,9,2,0.495057370089311,0.649076968796381
"GO:0032941","secretion by tissue","BP",26,0,0,1,1
"GO:0032943","mononuclear cell proliferation","BP",207,0,0,1,1
"GO:0032944","regulation of mononuclear cell proliferation","BP",153,0,0,1,1
"GO:0032946","positive regulation of mononuclear cell proliferation","BP",95,0,0,1,1
"GO:0033077","T cell differentiation in thymus","BP",59,0,0,1,1
"GO:0033081","regulation of T cell differentiation in thymus","BP",20,0,0,1,1
"GO:0033089","positive regulation of T cell differentiation in thymus","BP",10,0,0,1,1
"GO:0033197","response to vitamin E","BP",12,0,0,1,1
"GO:0033273","response to vitamin","BP",84,1,0,0.345301788940025,1
"GO:0033627","cell adhesion mediated by integrin","BP",56,0,0,1,1
"GO:0033628","regulation of cell adhesion mediated by integrin","BP",37,0,0,1,1
"GO:0033631","cell-cell adhesion mediated by integrin","BP",12,0,0,1,1
"GO:0033632","regulation of cell-cell adhesion mediated by integrin","BP",8,0,0,1,1
"GO:0034404","nucleobase-containing small molecule biosynthetic process","BP",70,0,0,1,1
"GO:0034641","cellular nitrogen compound metabolic process","BP",3254,16,5,0.591829446253891,0.363488274852259
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",2234,14,4,0.208699120352044,0.282642648639177
"GO:0034655","nucleobase-containing compound catabolic process","BP",332,0,1,1,0.339163514956125
"GO:0034656","nucleobase-containing small molecule catabolic process","BP",24,0,0,1,1
"GO:0035295","tube development","BP",718,4,0,0.489221531457388,1
"GO:0035556","intracellular signal transduction","BP",1733,8,4,0.660245893993419,0.14545981552606
"GO:0035588","G protein-coupled purinergic receptor signaling pathway","BP",11,0,0,1,1
"GO:0035590","purinergic nucleotide receptor signaling pathway","BP",23,0,0,1,1
"GO:0036293","response to decreased oxygen levels","BP",296,3,1,0.184081400512911,0.308276357654079
"GO:0040011","locomotion","BP",1155,8,1,0.214594661168951,0.779948923972857
"GO:0040012","regulation of locomotion","BP",633,5,0,0.207975111438565,1
"GO:0040013","negative regulation of locomotion","BP",202,2,0,0.268436812566463,1
"GO:0042100","B cell proliferation","BP",71,0,0,1,1
"GO:0042110","T cell activation","BP",345,2,0,0.520100085646145,1
"GO:0042113","B cell activation","BP",184,0,0,1,1
"GO:0042127","regulation of cell population proliferation","BP",1138,5,5,0.690029961867255,0.0077073407210441
"GO:0042278","purine nucleoside metabolic process","BP",36,0,0,1,1
"GO:0042321","negative regulation of circadian sleep/wake cycle, sleep","BP",4,0,0,1,1
"GO:0042323","negative regulation of circadian sleep/wake cycle, non-REM sleep","BP",2,0,0,1,1
"GO:0042440","pigment metabolic process","BP",53,0,0,1,1
"GO:0042451","purine nucleoside biosynthetic process","BP",17,0,0,1,1
"GO:0042454","ribonucleoside catabolic process","BP",9,0,0,1,1
"GO:0042455","ribonucleoside biosynthetic process","BP",17,0,0,1,1
"GO:0042493","response to drug","BP",800,8,2,0.0428269418315637,0.255881625377517
"GO:0042542","response to hydrogen peroxide","BP",116,1,0,0.443450769549554,1
"GO:0042592","homeostatic process","BP",1257,9,1,0.168848138490336,0.809512605623891
"GO:0042737","drug catabolic process","BP",104,1,0,0.408458772181796,1
"GO:0042745","circadian sleep/wake cycle","BP",22,0,0,1,1
"GO:0042748","circadian sleep/wake cycle, non-REM sleep","BP",7,0,0,1,1
"GO:0042749","regulation of circadian sleep/wake cycle","BP",18,0,0,1,1
"GO:0042752","regulation of circadian rhythm","BP",86,2,0,0.068753833769099,1
"GO:0042754","negative regulation of circadian rhythm","BP",9,0,0,1,1
"GO:0042981","regulation of apoptotic process","BP",1023,7,3,0.247081052123581,0.121063809148924
"GO:0043009","chordate embryonic development","BP",411,2,0,0.61658621955379,1
"GO:0043066","negative regulation of apoptotic process","BP",620,3,2,0.608857586591969,0.173087029079247
"GO:0043067","regulation of programmed cell death","BP",1035,7,3,0.256505330525349,0.124339145161027
"GO:0043069","negative regulation of programmed cell death","BP",630,3,2,0.619971685296927,0.177537855225689
"GO:0043084","penile erection","BP",10,0,1,1,0.0121774224736243
"GO:0043094","cellular metabolic compound salvage","BP",21,0,0,1,1
"GO:0043096","purine nucleobase salvage","BP",3,0,0,1,1
"GO:0043101","purine-containing compound salvage","BP",12,0,0,1,1
"GO:0043103","hypoxanthine salvage","BP",2,0,0,1,1
"GO:0043173","nucleotide salvage","BP",9,0,0,1,1
"GO:0043278","response to morphine","BP",29,1,0,0.135657396459907,1
"GO:0043279","response to alkaloid","BP",96,3,0,0.0121176801626382,1
"GO:0043900","regulation of multi-organism process","BP",45,0,1,1,0.053744418758644
"GO:0043901","negative regulation of multi-organism process","BP",17,0,0,1,1
"GO:0044057","regulation of system process","BP",447,2,1,0.662848452583602,0.429621637197493
"GO:0044238","primary metabolic process","BP",5202,22,7,0.914799509860512,0.474353235959182
"GO:0044248","cellular catabolic process","BP",1249,2,2,0.990283171943907,0.464846186433033
"GO:0044249","cellular biosynthetic process","BP",3166,16,5,0.537598919885141,0.337508517186331
"GO:0044270","cellular nitrogen compound catabolic process","BP",359,0,1,1,0.361500142578526
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",2575,14,4,0.411740910476824,0.390829566836772
"GO:0044281","small molecule metabolic process","BP",1219,2,0,0.988712517872615,1
"GO:0044282","small molecule catabolic process","BP",290,0,0,1,1
"GO:0044283","small molecule biosynthetic process","BP",460,1,0,0.906524737007642,1
"GO:0044703","multi-organism reproductive process","BP",565,4,2,0.312991763906601,0.149064267920258
"GO:0045187","regulation of circadian sleep/wake cycle, sleep","BP",16,0,0,1,1
"GO:0045188","regulation of circadian sleep/wake cycle, non-REM sleep","BP",7,0,0,1,1
"GO:0045580","regulation of T cell differentiation","BP",105,0,0,1,1
"GO:0045582","positive regulation of T cell differentiation","BP",69,0,0,1,1
"GO:0045595","regulation of cell differentiation","BP",1181,5,0,0.722332849086872,1
"GO:0045597","positive regulation of cell differentiation","BP",663,2,0,0.854904220036769,1
"GO:0045619","regulation of lymphocyte differentiation","BP",122,0,0,1,1
"GO:0045621","positive regulation of lymphocyte differentiation","BP",77,0,0,1,1
"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","BP",39,0,1,1,0.0467335752562748
"GO:0045785","positive regulation of cell adhesion","BP",311,1,0,0.795791556172361,1
"GO:0045823","positive regulation of heart contraction","BP",32,0,0,1,1
"GO:0045933","positive regulation of muscle contraction","BP",37,0,0,1,1
"GO:0045987","positive regulation of smooth muscle contraction","BP",26,0,0,1,1
"GO:0046060","dATP metabolic process","BP",4,0,0,1,1
"GO:0046061","dATP catabolic process","BP",2,0,0,1,1
"GO:0046085","adenosine metabolic process","BP",4,0,0,1,1
"GO:0046090","deoxyadenosine metabolic process","BP",1,0,0,1,1
"GO:0046100","hypoxanthine metabolic process","BP",3,0,0,1,1
"GO:0046101","hypoxanthine biosynthetic process","BP",3,0,0,1,1
"GO:0046102","inosine metabolic process","BP",2,0,0,1,1
"GO:0046103","inosine biosynthetic process","BP",1,0,0,1,1
"GO:0046110","xanthine metabolic process","BP",3,0,0,1,1
"GO:0046111","xanthine biosynthetic process","BP",1,0,0,1,1
"GO:0046112","nucleobase biosynthetic process","BP",16,0,0,1,1
"GO:0046121","deoxyribonucleoside catabolic process","BP",2,0,0,1,1
"GO:0046122","purine deoxyribonucleoside metabolic process","BP",2,0,0,1,1
"GO:0046124","purine deoxyribonucleoside catabolic process","BP",1,0,0,1,1
"GO:0046128","purine ribonucleoside metabolic process","BP",36,0,0,1,1
"GO:0046129","purine ribonucleoside biosynthetic process","BP",17,0,0,1,1
"GO:0046130","purine ribonucleoside catabolic process","BP",4,0,0,1,1
"GO:0046148","pigment biosynthetic process","BP",45,0,0,1,1
"GO:0046386","deoxyribose phosphate catabolic process","BP",8,0,0,1,1
"GO:0046434","organophosphate catabolic process","BP",80,0,0,1,1
"GO:0046483","heterocycle metabolic process","BP",3002,16,5,0.434173393108721,0.290578099083306
"GO:0046631","alpha-beta T cell activation","BP",98,0,0,1,1
"GO:0046632","alpha-beta T cell differentiation","BP",72,0,0,1,1
"GO:0046634","regulation of alpha-beta T cell activation","BP",67,0,0,1,1
"GO:0046635","positive regulation of alpha-beta T cell activation","BP",50,0,0,1,1
"GO:0046637","regulation of alpha-beta T cell differentiation","BP",45,0,0,1,1
"GO:0046638","positive regulation of alpha-beta T cell differentiation","BP",37,0,0,1,1
"GO:0046649","lymphocyte activation","BP",485,2,0,0.70686573210297,1
"GO:0046651","lymphocyte proliferation","BP",205,0,0,1,1
"GO:0046677","response to antibiotic","BP",273,3,0,0.155775230663514,1
"GO:0046700","heterocycle catabolic process","BP",358,0,1,1,0.360685257042891
"GO:0048286","lung alveolus development","BP",26,2,0,0.00738055611897167,1
"GO:0048511","rhythmic process","BP",241,4,0,0.0318317055891329,1
"GO:0048512","circadian behavior","BP",39,1,0,0.178124884023614,1
"GO:0048513","animal organ development","BP",2266,9,3,0.83615264722215,0.551417139511325
"GO:0048518","positive regulation of biological process","BP",3577,14,7,0.912626709973474,0.0967548867576223
"GO:0048519","negative regulation of biological process","BP",3085,13,5,0.822445653597789,0.314059239145404
"GO:0048521","negative regulation of behavior","BP",13,0,0,1,1
"GO:0048522","positive regulation of cellular process","BP",3262,12,6,0.93634793468346,0.171307624954063
"GO:0048523","negative regulation of cellular process","BP",2762,12,5,0.771729106379611,0.226528064185484
